seed,family,policy,layer,collision,bufferViolation,minGap,stopTime,stopped,brakeTime,finalSpeed
27256,dust,no-speed-cap,extended-model,false,false,12.697375181234008,11.950000000000035,true,6.549999999999985,0
27256,dust,no-brake-bound,nominal-model,false,false,8.110120077781232,19.25000000000014,true,16.750000000000103,0
27256,dust,no-brake-bound,extended-model,false,false,7.497432633165431,19.40000000000014,true,16.700000000000102,0
27257,dust,baseline,nominal-model,false,false,8.486739212771624,11.050000000000022,true,6.749999999999984,0
27257,dust,baseline,extended-model,false,false,9.714019841226047,10.85000000000002,true,6.749999999999984,0
27257,dust,guarded,nominal-model,false,false,15.647352097795647,16.6000000000001,true,14.45000000000007,0
27257,dust,guarded,extended-model,false,false,15.841404915163992,16.5500000000001,true,14.500000000000071,0
27257,dust,no-speed-cap,nominal-model,false,false,37.8995029574499,8.599999999999987,true,4.299999999999993,0
27257,dust,no-speed-cap,extended-model,false,false,22.315643451630308,9.800000000000004,true,5.699999999999988,0
27257,dust,no-brake-bound,nominal-model,false,false,8.147352248636878,17.85000000000012,true,15.700000000000088,0
27257,dust,no-brake-bound,extended-model,false,false,8.341405038276832,17.800000000000118,true,15.750000000000089,0
27258,dust,baseline,nominal-model,false,false,8.355292787193491,15.350000000000083,true,10.600000000000016,0
27258,dust,baseline,extended-model,true,true,-0.03264668721254793,13.950000000000063,false,12.30000000000004,7.768265786457125
27258,dust,guarded,nominal-model,false,false,18.194429838704934,24.25000000000021,true,21.850000000000176,0
27258,dust,guarded,extended-model,false,false,17.70599047078929,24.30000000000021,true,21.950000000000177,0
27258,dust,no-speed-cap,nominal-model,false,false,49.15543493015235,11.950000000000035,true,7.199999999999982,0
27258,dust,no-speed-cap,extended-model,true,true,-0.03264668721254793,13.950000000000063,false,12.30000000000004,7.768265786457125
27258,dust,no-brake-bound,nominal-model,false,false,8.294429838734743,25.900000000000233,true,23.5000000000002,0
27258,dust,no-brake-bound,extended-model,false,false,8.105990470814731,25.900000000000233,true,23.5500000000002,0
27259,dust,baseline,nominal-model,false,false,8.519634037454523,10.050000000000008,true,5.849999999999987,0
27259,dust,baseline,extended-model,false,false,7.174284488991475,10.100000000000009,true,6.0499999999999865,0
27259,dust,guarded,nominal-model,false,false,15.114202545121032,14.750000000000075,true,12.650000000000045,0
27259,dust,guarded,extended-model,false,false,15.257276572068406,14.750000000000075,true,12.700000000000045,0
27259,dust,no-speed-cap,nominal-model,false,false,36.14049195495329,7.7499999999999805,true,3.5499999999999954,0
